SubjectID,task,block,TYPE,LV,Accuracy,count,propTrials,RT_mean,RT_std
85715,2FC,1.0,NV,L5,1,10.0,0.83,1144.0,136.0481940751553
85715,2FC,1.0,NV,L5,miss,,,,
85715,2FC,1.0,SiSSN,L1,0,6.0,0.5,1230.1666666666667,196.43667342598397
85715,2FC,1.0,SiSSN,L1,1,6.0,0.5,1324.0,285.187657516941
85715,2FC,1.0,SiSSN,L1,miss,,,,
85715,2FC,1.0,SiSSN,L2,0,2.0,0.17,1404.5,318.9051583151329
85715,2FC,1.0,SiSSN,L2,1,10.0,0.83,1258.9,143.0768635695125
85715,2FC,1.0,SiSSN,L2,miss,,,,
85715,2FC,1.0,SiSSN,L3,0,1.0,0.08,1302.0,
85715,2FC,1.0,SiSSN,L3,1,11.0,0.92,1162.1818181818182,216.5307452450197
85715,2FC,1.0,SiSSN,L3,miss,,,,
85715,2FC,1.0,SiSSN,L4,0,,,,
85715,2FC,1.0,SiSSN,L4,1,12.0,1.0,1198.0833333333333,195.1430516468896
85715,2FC,1.0,SiSSN,L4,miss,,,,
85715,2FC,1.0,SiSSN,L5,0,,,,
85715,2FC,1.0,SiSSN,L5,1,11.0,0.92,1142.0,113.46717587038104
85715,2FC,1.0,SiSSN,L5,miss,1.0,0.08,,
85715,2FC,2.0,NV,L1,0,4.0,0.33,1429.5,320.8722487221355
85715,2FC,2.0,NV,L1,1,8.0,0.67,1450.625,328.22289356037135
85715,2FC,2.0,NV,L1,miss,,,,
85715,2FC,2.0,NV,L2,0,2.0,0.17,1450.0,114.5512985522207
85715,2FC,2.0,NV,L2,1,9.0,0.75,1292.6666666666667,280.43448432744503
85715,2FC,2.0,NV,L2,miss,1.0,0.08,,
85715,2FC,2.0,NV,L3,0,1.0,0.08,1958.0,
85715,2FC,2.0,NV,L3,1,11.0,0.92,1454.6363636363635,362.2218305754838
85715,2FC,2.0,NV,L3,miss,,,,
85715,2FC,2.0,NV,L4,0,1.0,0.08,1904.0,
85715,2FC,2.0,NV,L4,1,11.0,0.92,1335.3636363636365,231.4291566450834
85715,2FC,2.0,NV,L4,miss,,,,
85715,2FC,2.0,NV,L5,0,4.0,0.33,1462.25,370.5602739996109
85715,2FC,2.0,NV,L5,1,8.0,0.67,1426.75,221.37476304738465
85715,2FC,2.0,NV,L5,miss,,,,
85715,2FC,2.0,SiSSN,L1,0,2.0,0.17,1629.0,336.5828278447966
85715,2FC,2.0,SiSSN,L1,1,10.0,0.83,1214.5,90.8090181522616
85715,2FC,2.0,SiSSN,L1,miss,,,,
85715,2FC,2.0,SiSSN,L2,0,1.0,0.08,1115.0,
85715,2FC,2.0,SiSSN,L2,1,11.0,0.92,1347.7272727272727,337.29959706738185
85715,2FC,2.0,SiSSN,L2,miss,,,,
85715,2FC,2.0,SiSSN,L3,0,2.0,0.17,1383.5,485.78235867515815
85715,2FC,2.0,SiSSN,L3,1,10.0,0.83,1140.6,144.0256150057266
85715,2FC,2.0,SiSSN,L3,miss,,,,
85715,2FC,2.0,SiSSN,L4,0,,,,
85715,2FC,2.0,SiSSN,L4,1,11.0,0.92,1313.8181818181818,317.89992707826093
85715,2FC,2.0,SiSSN,L4,miss,1.0,0.08,,
85715,2FC,2.0,SiSSN,L5,0,1.0,0.08,1584.0,
85715,2FC,2.0,SiSSN,L5,1,11.0,0.92,1100.7272727272727,125.33562215834004
85715,2FC,2.0,SiSSN,L5,miss,,,,
8571533,2FC,1.0,NV,L1,0,2.0,0.17,1451.5,275.064537881567
8571533,2FC,1.0,NV,L1,1,9.0,0.75,1277.5555555555557,296.935645852393
8571533,2FC,1.0,NV,L1,miss,1.0,0.08,,
8571533,2FC,1.0,NV,L2,0,5.0,0.42,1379.6,154.95902684258184
8571533,2FC,1.0,NV,L2,1,7.0,0.58,1208.0,220.17417347787796
8571533,2FC,1.0,NV,L2,miss,,,,
8571533,2FC,1.0,NV,L3,0,1.0,0.08,1500.0,
8571533,2FC,1.0,NV,L3,1,11.0,0.92,1288.1818181818182,260.82592592831645
8571533,2FC,1.0,NV,L3,miss,,,,
8571533,2FC,1.0,NV,L4,0,5.0,0.42,1126.8,144.38040033190103
8571533,2FC,1.0,NV,L4,1,7.0,0.58,1362.857142857143,333.6312478228164
8571533,2FC,1.0,NV,L4,miss,,,,
8571533,2FC,1.0,NV,L5,0,3.0,0.25,1156.0,142.51666569212176
8571533,2FC,1.0,NV,L5,1,9.0,0.75,1216.3333333333333,140.24888591357865
8571533,2FC,1.0,NV,L5,miss,,,,
8571533,2FC,1.0,SiSSN,L1,0,2.0,0.17,1633.0,185.26197667087544
8571533,2FC,1.0,SiSSN,L1,1,10.0,0.83,1387.6,128.8471963218447
8571533,2FC,1.0,SiSSN,L1,miss,,,,
8571533,2FC,1.0,SiSSN,L2,0,2.0,0.17,1427.0,364.8670990922585
8571533,2FC,1.0,SiSSN,L2,1,9.0,0.75,1450.888888888889,334.8277334856106
8571533,2FC,1.0,SiSSN,L2,miss,1.0,0.08,,
8571533,2FC,1.0,SiSSN,L3,0,2.0,0.17,1327.0,168.2914139223983
8571533,2FC,1.0,SiSSN,L3,1,10.0,0.83,1188.6,191.73836340179813
8571533,2FC,1.0,SiSSN,L3,miss,,,,
8571533,2FC,1.0,SiSSN,L4,0,,,,
8571533,2FC,1.0,SiSSN,L4,1,11.0,0.92,1124.4545454545455,176.3039214744605
8571533,2FC,1.0,SiSSN,L4,miss,1.0,0.08,,
8571533,2FC,1.0,SiSSN,L5,0,1.0,0.08,1552.0,
8571533,2FC,1.0,SiSSN,L5,1,11.0,0.92,1056.909090909091,73.58186535479314
8571533,2FC,1.0,SiSSN,L5,miss,,,,
8571533,2FC,2.0,NV,L1,0,4.0,0.33,1466.25,248.6488487807655
8571533,2FC,2.0,NV,L1,1,6.0,0.5,1265.6666666666667,156.34534424365395
8571533,2FC,2.0,NV,L1,miss,2.0,0.17,,
8571533,2FC,2.0,NV,L2,0,,,,
8571533,2FC,2.0,NV,L2,1,12.0,1.0,1388.6666666666667,263.9777309248688
8571533,2FC,2.0,NV,L2,miss,,,,
8571533,2FC,2.0,NV,L3,0,4.0,0.33,1326.75,237.11231515887144
8571533,2FC,2.0,NV,L3,1,8.0,0.67,1247.0,241.00503847726625
8571533,2FC,2.0,NV,L3,miss,,,,
8571533,2FC,2.0,NV,L4,0,,,,
8571533,2FC,2.0,NV,L4,1,12.0,1.0,1178.4166666666667,221.64527693564503
8571533,2FC,2.0,NV,L4,miss,,,,
8571533,2FC,2.0,NV,L5,0,,,,
8571533,2FC,2.0,NV,L5,1,12.0,1.0,1230.8333333333333,310.2239171757696
8571533,2FC,2.0,NV,L5,miss,,,,
